readout,-0.3,-0.2,-0.1,0.0,0.1,0.2,0.3
a_original_fc,34.46,51.42,63.86,68.05,61.15,40.16,15.98
b_clean_fit_linear,31.43,49.2,62.9,67.77,60.74,39.2,15.98
c_dist_fit_linear,25.76,39.06,50.58,57.87,61.47,61.94,58.95
d_dist_fit_mlp,22.67,36.89,48.03,55.5,60.13,60.78,58.14
e_readout_NAT,50.93,58.84,63.56,65.24,63.38,58.03,46.98
